message_id,sender_id,message_text,timestamp,amount,transaction_cost,new_balance,recipient_name,is_fraud,fraud_type,message_type,sender_name,sender_number,is_valid_sender,message_length,has_pin_word,amount_count,has_confirmed,has_link,link_count,link_at_start,link_at_end,has_official_domain,link_with_urgency,link_without_transaction,exclamation_count,has_urgent_word
MSG00007812,MPESA,Confirmed. You have received Ksh49775.25 from Grace Omondi 0793 612 734 on 17/9/25 at 3.30 PM New M-PESA balance is Ksh76508.64.,2025-09-17 15:30:01.003438,49775.25,0.0,76508.64,,0,,receipt_confirmation,Grace Omondi,0793 612 734,1,128,0,2,1,0,0,0,0,0,0,0,0,0
MSG00006243,MPESA,Confirmed. You have received Ksh9292.83 from Joyce Nyambura 0750 089 757 on 17/9/25 at 3.37 PM New M-PESA balance is Ksh30261.57. Get exclusive deals at https://bit.ly/mpesadeals for M-PESA users.,2025-09-17 15:37:00.974619,9292.83,0.0,30261.57,,0,,receipt_confirmation,Joyce Nyambura,0750 089 757,1,196,0,2,1,1,2,0,1,0,0,0,0,0
MSG00006730,MPESA,Confirmed. You have received Ksh11643.62 from David Wanjiku 0750 876 302 on 17/9/25 at 3.58 PM New M-PESA balance is Ksh91612.79.,2025-09-17 15:58:00.984769,11643.62,0.0,91612.79,,0,,receipt_confirmation,David Wanjiku,0750 876 302,1,129,0,2,1,0,0,0,0,0,0,0,0,0
MSG00007020,MPESA,Confirmed. You have received Ksh276.10 from Otieno Wanjiku 0710 296 746 on 17/9/25 at 4.55 PM New M-PESA balance is Ksh41224.93. Get exclusive deals at https://bit.ly/mpesadeals for M-PESA users.,2025-09-17 16:55:00.984769,276.1,0.0,41224.93,,0,,receipt_confirmation,Otieno Wanjiku,0710 296 746,1,195,0,2,1,1,2,0,1,0,0,0,0,0
MSG00007476,MPESA,Confirmed. You have received Ksh46037.13 from Kipchoge Waithaka 0769 737 021 on 17/9/25 at 4.58 PM New M-PESA balance is Ksh109665.77.,2025-09-17 16:58:00.998914,46037.13,0.0,109665.77,,0,,receipt_confirmation,Kipchoge Waithaka,0769 737 021,1,134,0,2,1,0,0,0,0,0,0,0,0,0
MSG00004175,MPESA,"Confirmed. Ksh46906.89 paid to Chebet Wanjiku. on 17/9/25 at 5.05 PM New M-PESA balance is Ksh10755.00. Transaction cost, Ksh60.00. Amount you can transact within the day is 500000.00.",2025-09-17 17:05:00.935523,46906.89,60.0,10755.0,Chebet Wanjiku,0,,payment_confirmation,,,1,184,0,3,1,0,0,0,0,0,0,0,0,0
MSG00003396,MPESA,"Confirmed. Ksh36394.48 paid to Grace Owino. on 17/9/25 at 5.53 PM New M-PESA balance is Ksh11003.18. Transaction cost, Ksh60.00. Amount you can transact within the day is 500000.00.",2025-09-17 17:53:00.921532,36394.48,60.0,11003.18,Grace Owino,0,,payment_confirmation,,,1,181,0,3,1,0,0,0,0,0,0,0,0,0
MSG00003872,MPESA,"Confirmed. Ksh29895.24 paid to Faith Maina. on 17/9/25 at 6.04 PM New M-PESA balance is Ksh19071.84. Transaction cost, Ksh55.00. Amount you can transact within the day is 500000.00. Send money globally with M-PESA. Learn more https://bit.ly/mpesalnk",2025-09-17 18:04:00.931081,29895.24,55.0,19071.84,Faith Maina,0,,payment_confirmation,,,1,249,0,3,1,1,2,0,1,0,0,0,0,0
MSG00005525,MPESA,Confirmed. You have received Ksh43727.56 from Faith Wanjiku 0791 733 430 on 17/9/25 at 6.16 PM New M-PESA balance is Ksh87536.71.,2025-09-17 18:16:00.953299,43727.56,0.0,87536.71,,0,,receipt_confirmation,Faith Wanjiku,0791 733 430,1,129,0,2,1,0,0,0,0,0,0,0,0,0
MSG00007880,MPESA,Confirmed. You have received Ksh49689.05 from Grace Kiprotich 0740 422 132 on 17/9/25 at 6.24 PM New M-PESA balance is Ksh92551.58.,2025-09-17 18:24:01.003438,49689.05,0.0,92551.58,,0,,receipt_confirmation,Grace Kiprotich,0740 422 132,1,131,0,2,1,0,0,0,0,0,0,0,0,0
